Year,WHO region,Country,Alcohol type,Numeric
1998,Europe,France,All types,13.27
1986,Western Pacific,Solomon Islands,Wine,0.05
1996,Africa,Angola,Spirits,0.49
1993,Americas,Chile,Beer,1.89
1990,Europe,Luxembourg,Other alcoholic beverages,
1990,Africa,Guinea-Bissau,Beer,0.51
1992,Western Pacific,Australia,Beer,6.35
1989,Africa,Ghana,Beer,0.39
1981,South-East Asia,Sri Lanka,All types,0.38
1997,Africa,Guinea,Wine,0.01
1983,Europe,Netherlands,Wine,2.39
1991,Africa,United Republic of Tanzania,All types,5.71
1983,Eastern Mediterranean,Saudi Arabia,All types,0.32
1996,Eastern Mediterranean,Yemen,All types,0.15
1998,Western Pacific,Vanuatu,Wine,0.6
1980,Africa,Sierra Leone,Spirits,0.03
1995,Eastern Mediterranean,Iraq,Wine,0
1983,Africa,Seychelles,Wine,0.43
1981,Africa,Ghana,Spirits,0.03
1999,Americas,Colombia,Spirits,2.52
1997,Africa,Uganda,All types,7.72
1981,Americas,Suriname,Beer,3.14
1984,Africa,Togo,All types,2.61
1993,South-East Asia,Indonesia,Wine,0
1997,Africa,Botswana,Spirits,0.55
1986,Americas,Argentina,Wine,10.3
1988,South-East Asia,Bhutan,Beer,0.32
1985,Americas,Brazil,Wine,0.44
1992,Europe,Luxembourg,Spirits,2.84
1993,Europe,Sweden,Wine,1.72
1996,Africa,Mozambique,All types,0.69
1982,Europe,Iceland,All types,4.92
1991,Africa,Burkina Faso,Wine,0
1988,Europe,Norway,All types,5.26
1993,Western Pacific,Japan,Spirits,2.87
1988,Western Pacific,Republic of Korea,All types,10.13
1990,Africa,Uganda,Other alcoholic beverages,7.72
1987,Eastern Mediterranean,Djibouti,Beer,0.48
1997,Europe,Armenia,Beer,0.14
1986,Africa,Gabon,Other alcoholic beverages,
1993,Americas,Costa Rica,Wine,0.05
1986,Eastern Mediterranean,United Arab Emirates,Other alcoholic beverages,0
1992,Eastern Mediterranean,Yemen,Wine,0
1989,Africa,Senegal,Spirits,0.01
1980,Africa,Madagascar,All types,1.55
1994,Americas,Saint Lucia,Other alcoholic beverages,0.19
1984,Eastern Mediterranean,Oman,All types,0.14
1991,Eastern Mediterranean,Oman,Other alcoholic beverages,0
1982,Europe,United Kingdom of Great Britain and Northern Ireland,Other alcoholic beverages,0
1982,Europe,Czech Republic,Other alcoholic beverages,
1994,Africa,Mauritania,Spirits,0
1996,Europe,Italy,Wine,6.98
1994,Africa,Cameroon,Other alcoholic beverages,1.47
1996,Africa,Comoros,Beer,0.01
1990,Africa,Guinea,Other alcoholic beverages,0
1989,Eastern Mediterranean,Qatar,Beer,0.09
1991,Africa,Nigeria,Wine,0.01
1983,Africa,Nigeria,Spirits,0
1992,Americas,Brazil,Other alcoholic beverages,0
1988,Europe,United Kingdom of Great Britain and Northern Ireland,Other alcoholic beverages,0.37
1997,Africa,Ethiopia,All types,0.84
1996,Europe,Netherlands,Wine,2.6
1986,Western Pacific,Solomon Islands,Spirits,0.07
1984,Eastern Mediterranean,Lebanon,Other alcoholic beverages,0
1982,Europe,Ireland,Other alcoholic beverages,0.67
1989,Africa,Togo,All types,2.22
1993,Europe,Azerbaijan,All types,2.91
1995,Americas,Bolivia (Plurinational State of),All types,3.13
1993,Africa,Botswana,Beer,3.12
1996,Eastern Mediterranean,United Arab Emirates,Spirits,1.51
1992,Africa,Comoros,Beer,0.01
1992,Western Pacific,Cambodia,Beer,0.06
1993,Africa,Nigeria,Spirits,0
1998,Western Pacific,Brunei Darussalam,Wine,0.02
1992,Africa,Congo,Beer,2.46
1986,Africa,Ghana,Spirits,0.02
1992,Americas,Paraguay,Beer,2.31
1988,Eastern Mediterranean,Syrian Arab Republic,Other alcoholic beverages,0
1988,Europe,Ukraine,Other alcoholic beverages,
1992,Western Pacific,Vanuatu,Wine,0.41
1995,Americas,Saint Lucia,All types,11.8
1982,Americas,Peru,All types,5.78
1996,Europe,Denmark,Beer,7.14
1989,Europe,Switzerland,All types,13.86
1980,Americas,Colombia,Beer,3.68
1996,Africa,Senegal,Wine,0.08
1989,Africa,Zambia,Wine,0
1994,Americas,Peru,Other alcoholic beverages,0
1983,Europe,Sweden,Beer,2.75
1982,Europe,Italy,Wine,11.48
1983,Africa,Algeria,Beer,0.19
1991,Europe,Armenia,Other alcoholic beverages,
1984,South-East Asia,Bangladesh,Other alcoholic beverages,0
1992,Africa,Democratic Republic of the Congo,Wine,0
1995,Africa,Uganda,Other alcoholic beverages,7.85
1990,Africa,Mauritania,Wine,0
1987,Europe,Slovenia,Other alcoholic beverages,0
1995,Europe,Ireland,Other alcoholic beverages,
1989,Americas,Argentina,Beer,1.21
1993,Americas,Jamaica,Spirits,1.14
1980,Americas,Mexico,Beer,3.21
1981,Europe,Hungary,Beer,5.73
1994,South-East Asia,Myanmar,Spirits,0.2
1994,Western Pacific,Fiji,Beer,1.72
1988,Western Pacific,Fiji,All types,1.79
1993,South-East Asia,India,Spirits,1.74
1995,Europe,Slovakia,Other alcoholic beverages,0
1984,Western Pacific,Singapore,Wine,0.16
1984,Western Pacific,Singapore,All types,2.32
1980,Western Pacific,Malaysia,Other alcoholic beverages,
1995,Americas,Brazil,Beer,3.38
1982,Americas,Dominican Republic,All types,3.69
1996,Europe,Latvia,Spirits,5.66
1993,Western Pacific,Philippines,Wine,0
1980,Americas,Suriname,Other alcoholic beverages,0
1989,Africa,Burundi,Beer,2.84
1994,Americas,Nicaragua,Beer,0.65
1983,Europe,Hungary,Other alcoholic beverages,
1986,Africa,Ethiopia,Other alcoholic beverages,0.09
1994,Europe,Italy,Beer,1.54
1982,Africa,Lesotho,Other alcoholic beverages,1.13
1988,South-East Asia,Indonesia,Wine,0
1988,Africa,United Republic of Tanzania,Wine,0
1980,Americas,Mexico,Other alcoholic beverages,0.04
1997,Europe,Republic of Moldova,All types,16.4
1989,Africa,Comoros,Spirits,0.01
1980,Africa,Gabon,Wine,4.54
1988,Europe,Norway,Wine,0.97
1988,Western Pacific,Philippines,Beer,1.04
1988,Americas,Canada,Beer,4.91
1985,Europe,Cyprus,Beer,2.81
1996,Eastern Mediterranean,Lebanon,Other alcoholic beverages,0.02
1982,Europe,Italy,All types,14.5
1994,Europe,Czech Republic,Other alcoholic beverages,
1988,Africa,Côte d'Ivoire,Wine,0.93
1988,Africa,Gabon,Spirits,0.53
1987,Americas,Paraguay,All types,7.35
1988,Europe,Belgium,Wine,3.41
1988,Western Pacific,Kiribati,Spirits,0.09
1988,Africa,Burundi,Beer,2.83
1985,Africa,Gambia,Other alcoholic beverages,1.44
1985,Americas,Nicaragua,All types,3.35
1989,Europe,Turkey,Other alcoholic beverages,0
1993,Africa,Mauritius,All types,2.85
1990,Western Pacific,Brunei Darussalam,Other alcoholic beverages,0
1988,South-East Asia,Nepal,Beer,0.02
1985,Western Pacific,Vanuatu,All types,2.16
1997,Western Pacific,Brunei Darussalam,Spirits,0.02
1995,Americas,Bahamas,Spirits,7.83
1988,Eastern Mediterranean,Lebanon,Wine,0.88
1988,Europe,Czech Republic,All types,12.84
1989,Americas,Peru,Beer,1.89
1981,Eastern Mediterranean,Yemen,Beer,0.26
1988,Eastern Mediterranean,Syrian Arab Republic,Beer,0.06
1993,Americas,Mexico,Spirits,1.27
1996,South-East Asia,Bhutan,Beer,3.16
1980,Africa,Uganda,All types,8.02
1986,Europe,Spain,Beer,3.99
1992,Western Pacific,Malaysia,Other alcoholic beverages,0
1994,Africa,Angola,Beer,0.61
1998,Americas,Guyana,Wine,0
1994,Americas,Saint Kitts and Nevis,Wine,0.41
1998,Europe,Greece,Wine,4.17
1986,Europe,Cyprus,Other alcoholic beverages,0
1994,South-East Asia,Democratic People's Republic of Korea,Other alcoholic beverages,
1988,Americas,Trinidad and Tobago,All types,3.53
1988,Europe,Belgium,Beer,7.25
1990,Europe,Hungary,Spirits,5.39
1998,Europe,Kyrgyzstan,Beer,0.32
1996,Africa,Comoros,Wine,0.03
1980,Europe,Israel,Wine,0.66
1985,Western Pacific,China,All types,2.02
1982,Africa,Seychelles,Wine,0.39
1995,Americas,Saint Kitts and Nevis,Beer,2.73
1980,Europe,Italy,Spirits,2.44
1981,Western Pacific,Lao People's Democratic Republic,All types,4.56
1986,Western Pacific,Mongolia,All types,2.72
1994,Western Pacific,Cambodia,Wine,0
1980,Western Pacific,Kiribati,Spirits,0.16
1994,Africa,Guinea-Bissau,Other alcoholic beverages,1.33
1994,Africa,Madagascar,Other alcoholic beverages,
1990,Americas,Haiti,All types,6.12
1985,Americas,Guyana,Other alcoholic beverages,0
1999,Europe,Uzbekistan,Beer,0.23
1986,Europe,Latvia,Spirits,5.15
1988,Europe,Poland,Spirits,6.2
1994,Africa,Seychelles,All types,4.53
1993,Africa,Uganda,Other alcoholic beverages,7.48
1983,Americas,Colombia,Beer,4.11
1987,Europe,Spain,Spirits,3.7
1994,Eastern Mediterranean,Jordan,Beer,0.14
1987,Europe,Luxembourg,Wine,7.04
1993,Europe,Portugal,Other alcoholic beverages,0.81
1990,Europe,Malta,All types,7.21
1983,Africa,Central African Republic,All types,2.48
1999,Americas,Saint Vincent and the Grenadines,Beer,0.57
1986,Europe,Netherlands,Spirits,2.72
1983,Americas,Bolivia (Plurinational State of),Other alcoholic beverages,0
1994,Western Pacific,Malaysia,Other alcoholic beverages,0
1985,Americas,Bahamas,Beer,4.31
1983,Europe,Cyprus,Other alcoholic beverages,0
1985,Africa,Senegal,Other alcoholic beverages,0
1998,Americas,Dominica,Beer,0.34
1991,Europe,Latvia,Wine,1.27
1987,Western Pacific,Kiribati,Other alcoholic beverages,0
1998,Americas,Suriname,Wine,0.19
1991,Western Pacific,Samoa,Beer,1.98
1997,Europe,Romania,All types,11.68
1987,Americas,Argentina,Spirits,1.45
1998,Africa,Madagascar,All types,1.06
1986,Americas,Saint Kitts and Nevis,Beer,1.25
1986,Western Pacific,Brunei Darussalam,Beer,2.18
1996,Africa,Guinea,Wine,0.01
1998,Africa,Swaziland,Other alcoholic beverages,4.7
1981,Americas,Guyana,Beer,1.58
1981,Eastern Mediterranean,Morocco,Spirits,0.05
1999,Europe,Austria,Wine,4.2
1980,Americas,Bahamas,Spirits,9.22
1981,Africa,Botswana,Spirits,0.57
1981,Americas,Saint Lucia,All types,9.91
1985,Western Pacific,Japan,Beer,2.33
1998,Africa,Congo,Wine,0.28
1984,Western Pacific,Viet Nam,Beer,0.13
1991,Africa,Guinea-Bissau,Spirits,0.81
1994,Americas,Peru,Wine,0.1
1991,South-East Asia,Nepal,Spirits,0
1992,Africa,Rwanda,Spirits,0.01
1998,Eastern Mediterranean,Saudi Arabia,All types,0.07
1990,Europe,Iceland,Other alcoholic beverages,0.01
1983,Africa,Comoros,Wine,0.05
1982,Africa,Niger,Spirits,0.09
1981,South-East Asia,Democratic People's Republic of Korea,All types,2.8
1993,Western Pacific,Brunei Darussalam,Spirits,0.34
1985,Eastern Mediterranean,Qatar,Wine,0
1993,Europe,Luxembourg,Wine,5.89
1987,Eastern Mediterranean,Morocco,Spirits,0.06
1985,Eastern Mediterranean,Pakistan,Other alcoholic beverages,0.01
1987,Western Pacific,Lao People's Democratic Republic,Other alcoholic beverages,
1985,Africa,Chad,Beer,0.34
1994,Americas,Barbados,Beer,2.76
1994,Europe,Turkey,Beer,0.75
1983,Europe,Cyprus,Beer,2.62
1995,Africa,Nigeria,Wine,0
1989,Africa,Guinea,Spirits,0.11
1992,Americas,Saint Kitts and Nevis,All types,4.03
1995,Europe,Spain,Spirits,2.99
1998,Africa,Botswana,Beer,2.12
1985,Western Pacific,Vanuatu,Spirits,0.31
1989,Europe,Ukraine,All types,5.32
1992,Africa,Ethiopia,Other alcoholic beverages,0.12
1987,Europe,Hungary,Wine,3.32
1999,Europe,Belarus,Other alcoholic beverages,2.83
1980,Africa,Sierra Leone,Other alcoholic beverages,4.18
1988,Africa,Burkina Faso,All types,3.63
1992,Americas,Saint Lucia,Beer,3.23
1987,Europe,Albania,Spirits,0.64
1995,Western Pacific,Vanuatu,All types,1.47
1998,Americas,Grenada,Beer,1.37
1996,Eastern Mediterranean,Kuwait,Wine,0
1995,Eastern Mediterranean,Oman,Other alcoholic beverages,0
1995,Americas,Nicaragua,All types,2.45
1997,Western Pacific,Philippines,Wine,0.01
1997,Americas,Barbados,Spirits,3.43
1981,Africa,Algeria,All types,0.46
1992,Americas,Dominica,Wine,0.12
1995,Western Pacific,Australia,Beer,5.39
1981,Africa,Chad,All types,0.33
1991,Africa,Botswana,Wine,0.31
1981,Africa,Côte d'Ivoire,Wine,2.33
1991,Africa,Eritrea,All types,0.22
1988,Americas,Ecuador,Wine,0.04
1983,Africa,Malawi,All types,1.17
1981,Africa,Burundi,All types,8.44
1994,Europe,Belgium,Other alcoholic beverages,0
1980,Africa,South Africa,All types,8.6
1984,Africa,Senegal,Beer,0.2
1983,South-East Asia,Bhutan,All types,0.51
1999,Africa,United Republic of Tanzania,Spirits,0.09
1995,Americas,Honduras,Spirits,1.23
1990,Eastern Mediterranean,Afghanistan,Beer,0
1997,South-East Asia,Sri Lanka,Beer,0.06
1980,Eastern Mediterranean,Egypt,Other alcoholic beverages,
1992,Europe,Belgium,Wine,3.33
1981,Africa,Lesotho,Other alcoholic beverages,1.7
1998,Americas,Dominica,All types,7.51
1988,Europe,Ireland,Wine,0.65
1988,Europe,Russian Federation,Wine,0.92
1993,Africa,Angola,Spirits,0.32
1996,Africa,Seychelles,Wine,0.7
1985,Americas,Cuba,Spirits,2.22
1997,Africa,Guinea-Bissau,Wine,0.61
1990,Americas,Bolivia (Plurinational State of),Other alcoholic beverages,0
1990,Americas,Saint Lucia,Wine,0.64
1994,Europe,The former Yugoslav republic of Macedonia,Other alcoholic beverages,0
